configuration_id,library,library_version,model_family,model_class,task_type,adapter,environment,python_versions,status,prediction_parity,conformance,graph_validation,quality_gate,native_channels,derived_channels,surrogate_channels,missing_channels,api_checks,user_explanation_complete,artifact_sha256,report_path
knn_binary,sklearn,1.8.0,sklearn_knn,sklearn.neighbors._classification.KNeighborsClassifier,binary_classification,sklearn_knn_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""nearest_neighbors""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,0a2fabf85bd668e0946caf2d5182596e7a4f53c1c1bab16e1665272abe3ccbea,core_reports/knn_binary.json
knn_multiclass,sklearn,1.8.0,sklearn_knn,sklearn.neighbors._classification.KNeighborsClassifier,multiclass_classification,sklearn_knn_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""nearest_neighbors""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,d14237c1ebb932c3fbf7bc62994ba43a2aec66f920537ed9fa8d4c62458b5c9f,core_reports/knn_multiclass.json
knn_regression,sklearn,1.8.0,sklearn_knn,sklearn.neighbors._regression.KNeighborsRegressor,regression,sklearn_knn_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""nearest_neighbors""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,5f185a344ed40727a7a95da422af6c6ea2b2ff7bd033d1bcdea702ccc7cfbdb7,core_reports/knn_regression.json
lasso_regression,sklearn,1.8.0,sklearn_linear,sklearn.linear_model._coordinate_descent.Lasso,regression,sklearn_linear_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""coefficients""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,75d444bd9d9d343b9243c7fb3f87032f1b7715d44bb931ff5580baf852d70a28,core_reports/lasso_regression.json
linear_regression,sklearn,1.8.0,sklearn_linear,sklearn.linear_model._base.LinearRegression,regression,sklearn_linear_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""coefficients""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,c4133e3765cb9776b7cfa291d0a7521a5bc377aaeeb81064353a2fc671073591,core_reports/linear_regression.json
linear_svc_binary,sklearn,1.8.0,sklearn_svm,sklearn.svm._classes.LinearSVC,binary_classification,sklearn_svm_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""decision_function""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,b826c6f58b74f414405d5935577058303b53e8b95d73ae7552e03abe2b869979,core_reports/linear_svc_binary.json
linear_svc_kernel_binary,sklearn,1.8.0,sklearn_svm,sklearn.svm._classes.SVC,binary_classification,sklearn_svm_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_function"", ""support_vectors""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,5f0658b512cda3213c685e164975d26126f656af04a9c0c45e689c6fdb9a2856,core_reports/linear_svc_kernel_binary.json
logistic_binary,sklearn,1.8.0,sklearn_linear,sklearn.linear_model._logistic.LogisticRegression,binary_classification,sklearn_linear_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_function"", ""coefficients""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,67c51e72d99d541d06fd9ece00985cb396a2c6c578f7e623644321f9345835f3,core_reports/logistic_binary.json
logistic_multiclass,sklearn,1.8.0,sklearn_linear,sklearn.linear_model._logistic.LogisticRegression,multiclass_classification,sklearn_linear_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_function"", ""coefficients""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,60a8413356beb3020153de7b716ab7dc819fad21502c45cdf1e294566ece6cca,core_reports/logistic_multiclass.json
native_rule_model,fuzzyxai-native,,rule_based,__main__.NativeRuleBenchmarkModel,binary_classification,native_rules_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""native_rules"", ""rule_activation""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,f635c37004168df0578f927d3d5c22f02fc66862e3ff7cba6041d24fcdca772e,core_reports/native_rule_model.json
pipeline_logistic_binary,sklearn,1.8.0,sklearn_pipeline,sklearn.pipeline.Pipeline,binary_classification,sklearn_pipeline_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_function"", ""coefficients""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,aa1fddd4ae575a52fe88e517505a62ba8e02b825cdf66c78634482c2c86cabad,core_reports/pipeline_logistic_binary.json
random_forest_binary,sklearn,1.8.0,sklearn_ensemble,sklearn.ensemble._forest.RandomForestClassifier,binary_classification,sklearn_ensemble_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""ensemble_votes"", ""native_rules""]","[""perturbation_counterfactual"", ""ensemble_disagreement""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,58c67a9c8355ce00ea7767551862d0fc20fb25f90ce913082d2128f43615ce2d,core_reports/random_forest_binary.json
random_forest_multiclass,sklearn,1.8.0,sklearn_ensemble,sklearn.ensemble._forest.RandomForestClassifier,multiclass_classification,sklearn_ensemble_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""ensemble_votes"", ""native_rules""]","[""perturbation_counterfactual"", ""ensemble_disagreement""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,e48139d713a52b6826d02b9140919cf5c709f58f49f84a5d4f797c6c22219a06,core_reports/random_forest_multiclass.json
random_forest_regression,sklearn,1.8.0,sklearn_ensemble,sklearn.ensemble._forest.RandomForestRegressor,regression,sklearn_ensemble_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""ensemble_votes"", ""native_rules""]","[""perturbation_counterfactual"", ""ensemble_disagreement""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,80d4b880e6ef0428a074aa5362df831f4e5d5a610a129b834d519529cb4f45da,core_reports/random_forest_regression.json
rbf_svc_binary,sklearn,1.8.0,sklearn_svm,sklearn.svm._classes.SVC,binary_classification,sklearn_svm_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_function"", ""support_vectors""]","[""perturbation_counterfactual""]","[""local_contributions""]","[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,eaa46ade2a9605bb94f07251737acc7d574f1b11d6f7fedf499f4120c8ddf878,core_reports/rbf_svc_binary.json
ridge_binary,sklearn,1.8.0,sklearn_linear,sklearn.linear_model._ridge.RidgeClassifier,binary_classification,sklearn_linear_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""decision_function"", ""coefficients""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,83119bb0becba8d0da5c1d28603c1ce07ee53194ab953676815bdbf890340440,core_reports/ridge_binary.json
ridge_regression,sklearn,1.8.0,sklearn_linear,sklearn.linear_model._ridge.Ridge,regression,sklearn_linear_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""coefficients""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,a33d655dd582066209468b6355c9312deea977bdab168e3e676f0c5689778c9c,core_reports/ridge_regression.json
sgd_binary,sklearn,1.8.0,sklearn_linear,sklearn.linear_model._stochastic_gradient.SGDClassifier,binary_classification,sklearn_linear_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_function"", ""coefficients""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,b6794065c2f4e69bd1958d1a414037f347936b599d05f54272ef3a570b62b58f,core_reports/sgd_binary.json
sgd_regression,sklearn,1.8.0,sklearn_linear,sklearn.linear_model._stochastic_gradient.SGDRegressor,regression,sklearn_linear_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""coefficients""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,c41ecac965fe2844779374db61581498a40af40d84e9bf2bc2089c7e41d3e84b,core_reports/sgd_regression.json
svr_regression,sklearn,1.8.0,sklearn_svm,sklearn.svm._classes.SVR,regression,sklearn_svm_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""support_vectors""]","[""perturbation_counterfactual""]","[""local_contributions""]","[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,09683c8fe6ea50f25eb95ec69d73fdf877ee0ba9e50df71e159ab890faf34589,core_reports/svr_regression.json
tree_entropy_binary,sklearn,1.8.0,sklearn_tree,sklearn.tree._classes.DecisionTreeClassifier,binary_classification,sklearn_tree_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_path"", ""native_rules""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,72534138dc510e221fe888ed6a1b10bd13e27ba157dd6fdb640275838782597e,core_reports/tree_entropy_binary.json
tree_gini_binary,sklearn,1.8.0,sklearn_tree,sklearn.tree._classes.DecisionTreeClassifier,binary_classification,sklearn_tree_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_path"", ""native_rules""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,2c7d1784a1aa826138d1825efe3444a9becf968c7e9a11d2bc6136dd668cf9f1,core_reports/tree_gini_binary.json
tree_multiclass,sklearn,1.8.0,sklearn_tree,sklearn.tree._classes.DecisionTreeClassifier,multiclass_classification,sklearn_tree_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_path"", ""native_rules""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,e695e087d02cf561116e458a3255c4fe10f37c05c0887ca4a0a7ade2592c820f,core_reports/tree_multiclass.json
tree_regression,sklearn,1.8.0,sklearn_tree,sklearn.tree._classes.DecisionTreeRegressor,regression,sklearn_tree_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""decision_path"", ""native_rules""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,877c3f56c2fa1106fce8e4f78a7ed221e89481a092a6fabd4372d9c5466acf77,core_reports/tree_regression.json
xgboost_runtime,xgboost,3.3.0,xgboost,XGBClassifier,binary_classification,XGBoostAdapter,optional-runtime-xgboost,"[""3.11.15"", ""3.12.13""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""local_contributions"", ""native_rules"", ""leaf_indices""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]","{""compare_models"": true, ""explain_batch"": true, ""explain_global"": true, ""explain_one"": true, ""why_not"": true}",True,a577f1cf54b1290769a2ae1d4da71ae6ab1be64493ff4444cc2a7c1f7c9fd90d,adapter_reports/adapter_report_xgboost_py312.json
lightgbm_runtime,lightgbm,4.7.0,lightgbm,LGBMClassifier,binary_classification,LightGBMAdapter,optional-runtime-lightgbm,"[""3.11.15"", ""3.12.13""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_function"", ""local_contributions"", ""native_rules"", ""leaf_indices""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]","{""compare_models"": true, ""explain_batch"": true, ""explain_global"": true, ""explain_one"": true, ""why_not"": true}",True,e68bfe32fdcd076638e6743b784bb694f0d225143ae751dd0b797cc6e1fa5f43,adapter_reports/adapter_report_lightgbm_py312.json
catboost_runtime,catboost,1.2.10,catboost,CatBoostClassifier,binary_classification,CatBoostAdapter,optional-runtime-catboost,"[""3.11.15"", ""3.12.13""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""local_contributions"", ""native_rules"", ""leaf_indices""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]","{""compare_models"": true, ""explain_batch"": true, ""explain_global"": true, ""explain_one"": true, ""why_not"": true}",True,3b0bdea08ff4e43b50bc51787e3a8f3936be3aac5f23fc3f568fb884382f0367,adapter_reports/adapter_report_catboost_py312.json
torch_runtime,torch,2.13.0,pytorch,Sequential,binary_classification,TorchAdapter,optional-runtime-torch,"[""3.11.15"", ""3.12.13""]",pass,1.0,1.0,1.0,pass,"[""prediction""]","[""perturbation_counterfactual"", ""gradients"", ""integrated_gradients""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]","{""compare_models"": true, ""explain_batch"": true, ""explain_global"": true, ""explain_one"": true, ""why_not"": true}",True,1c58f89b0a77bc19cc37e2917be846f494bbba1b92dac856cd5a06d26556514f,adapter_reports/adapter_report_torch_py312.json
tensorflow_runtime,tensorflow,2.21.0,keras,Sequential,binary_classification,KerasAdapter,optional-runtime-tensorflow,"[""3.11.15"", ""3.12.13""]",pass,1.0,1.0,1.0,pass,"[""prediction""]","[""perturbation_counterfactual"", ""gradients""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]","{""compare_models"": true, ""explain_batch"": true, ""explain_global"": true, ""explain_one"": true, ""why_not"": true}",True,fac77ac745e5ca8f39df50502f357f50532dc40b5581c3e18c55c017aa298ae5,adapter_reports/adapter_report_tensorflow_py312.json
onnx_runtime,onnx,1.27.0,onnxruntime,ONNXModel,binary_classification,ONNXRuntimeAdapter,optional-runtime-onnx,"[""3.11.15"", ""3.12.13""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""onnx_outputs""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""local_contributions"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]","{""compare_models"": true, ""explain_batch"": true, ""explain_global"": true, ""explain_one"": true, ""why_not"": true}",True,3f569f06bec7b348f6a70f4f16d13b4cce34f94c938f603a0f7e9a9856fd53e1,adapter_reports/adapter_report_onnx_py312.json
