held_repository,selected_variant,training_repositories,training_recall_r9a,training_recall_r9b,test_incidents,test_recall_at_20,ranker,model_sha256,feature_importances
gitpython-developers/GitPython,R9B,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.5128205128205128,0.5384615384615384,1,0.0,lightgbm_lambdamart,faa7d55ea5db2cea084fc5d18432a3faeeb671d3a86c7e1d9a2fa2633380afaf,"{""best_rank_signal"":315,""callee"":2,""caller"":0,""channel_consensus"":149,""dynamic"":32,""executed"":30,""failing_test_frequency"":27,""frequency"":67,""last_touch"":123,""rank_bm25"":289,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":95,""rank_repograph"":118,""rank_runtime"":104,""rank_strict_identifier"":259,""traceback"":0}"
iterative/dvc,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.38461538461538464,1,1.0,lightgbm_lambdamart,4d946128fcb5cc18ba201d8080fa82f9f242e6d47ef061e3e177c75a3025c191,"{""best_rank_signal"":285,""callee"":1,""caller"":0,""channel_consensus"":167,""dynamic"":13,""executed"":31,""failing_test_frequency"":56,""frequency"":39,""last_touch"":115,""rank_bm25"":252,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":82,""rank_repograph"":184,""rank_runtime"":122,""rank_strict_identifier"":227,""traceback"":0}"
jlowin/fastmcp,R9B,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.5405405405405406,0.7027027027027027,3,0.0,lightgbm_lambdamart,cd1df0b2ed5b124cd0168c8cad11dae454d913f108a78c9065dd28b052c99bd8,"{""best_rank_signal"":293,""callee"":5,""caller"":0,""channel_consensus"":129,""dynamic"":15,""executed"":11,""failing_test_frequency"":34,""frequency"":64,""last_touch"":145,""rank_bm25"":250,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":117,""rank_repograph"":186,""rank_runtime"":97,""rank_strict_identifier"":245,""traceback"":0}"
koxudaxi/datamodel-code-generator,R9B,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.5263157894736842,0.6842105263157895,2,0.0,lightgbm_lambdamart,f4c45d628715621332f7ca9b176ccfb5648d209bc46e18e043b3eb3f22103860,"{""best_rank_signal"":273,""callee"":0,""caller"":0,""channel_consensus"":173,""dynamic"":5,""executed"":28,""failing_test_frequency"":35,""frequency"":48,""last_touch"":121,""rank_bm25"":266,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":99,""rank_repograph"":164,""rank_runtime"":130,""rank_strict_identifier"":244,""traceback"":0}"
mesonbuild/meson,R9B,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.6153846153846154,1,0.0,lightgbm_lambdamart,b378409c9bb3ed78f735a5d49c14996aa2492e4e2d788a4b2579f7dd702dd0ca,"{""best_rank_signal"":273,""callee"":5,""caller"":0,""channel_consensus"":86,""dynamic"":13,""executed"":22,""failing_test_frequency"":22,""frequency"":61,""last_touch"":140,""rank_bm25"":266,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":127,""rank_repograph"":177,""rank_runtime"":134,""rank_strict_identifier"":261,""traceback"":0}"
networkx/networkx,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.4358974358974359,1,1.0,lightgbm_lambdamart,93f0cb615a5c80daea94c1794941b8a4ab0393624279775b46b865a61e5f37f7,"{""best_rank_signal"":272,""callee"":5,""caller"":0,""channel_consensus"":98,""dynamic"":16,""executed"":11,""failing_test_frequency"":54,""frequency"":55,""last_touch"":117,""rank_bm25"":266,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":140,""rank_repograph"":148,""rank_runtime"":149,""rank_strict_identifier"":202,""traceback"":0}"
patroni/patroni,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.5128205128205128,0.41025641025641024,1,0.0,lightgbm_lambdamart,cd89e5b4cdbc6f7b347084e8ee2351baff207e57225d3884a2ac3133eb338591,"{""best_rank_signal"":298,""callee"":1,""caller"":0,""channel_consensus"":147,""dynamic"":15,""executed"":40,""failing_test_frequency"":49,""frequency"":63,""last_touch"":133,""rank_bm25"":274,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":78,""rank_repograph"":147,""rank_runtime"":117,""rank_strict_identifier"":192,""traceback"":0}"
piskvorky/smart_open,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.4358974358974359,1,1.0,lightgbm_lambdamart,c2fc90aa80421ab2261cd5fd491414398c0feb9c8d03159666bf95c2f74e0698,"{""best_rank_signal"":288,""callee"":6,""caller"":0,""channel_consensus"":164,""dynamic"":9,""executed"":19,""failing_test_frequency"":42,""frequency"":69,""last_touch"":166,""rank_bm25"":260,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":86,""rank_repograph"":169,""rank_runtime"":119,""rank_strict_identifier"":196,""traceback"":0}"
py-pdf/pypdf,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.41025641025641024,1,1.0,lightgbm_lambdamart,20241446c1edd08ea8addf385b852b2d3c32bd1b017a4eaee2f7d604a7f03630,"{""best_rank_signal"":290,""callee"":1,""caller"":0,""channel_consensus"":139,""dynamic"":21,""executed"":27,""failing_test_frequency"":45,""frequency"":57,""last_touch"":127,""rank_bm25"":289,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":74,""rank_repograph"":150,""rank_runtime"":130,""rank_strict_identifier"":224,""traceback"":0}"
pyca/cryptography,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.4358974358974359,1,1.0,lightgbm_lambdamart,d6fb9e310b717a0ad8c11754c087371dd389375dac668a01e992dc9b3b175430,"{""best_rank_signal"":264,""callee"":2,""caller"":0,""channel_consensus"":179,""dynamic"":10,""executed"":41,""failing_test_frequency"":54,""frequency"":45,""last_touch"":120,""rank_bm25"":239,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":92,""rank_repograph"":151,""rank_runtime"":134,""rank_strict_identifier"":194,""traceback"":0}"
pyinfra-dev/pyinfra,R9B,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.6153846153846154,1,0.0,lightgbm_lambdamart,2ce6ccb87dfd2da4f42f76d76e8045ed09f9f7e1971ee9e92fd0dfb11fb2e4db,"{""best_rank_signal"":297,""callee"":2,""caller"":0,""channel_consensus"":124,""dynamic"":19,""executed"":19,""failing_test_frequency"":29,""frequency"":58,""last_touch"":125,""rank_bm25"":249,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":106,""rank_repograph"":156,""rank_runtime"":150,""rank_strict_identifier"":245,""traceback"":0}"
pymodbus-dev/pymodbus,R9B,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.5641025641025641,1,1.0,lightgbm_lambdamart,7edaac8e6a78eea95cfe9dad2dbf96fc2cf010909164d3f7843229084853c5b6,"{""best_rank_signal"":285,""callee"":6,""caller"":0,""channel_consensus"":148,""dynamic"":21,""executed"":26,""failing_test_frequency"":33,""frequency"":69,""last_touch"":129,""rank_bm25"":257,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":103,""rank_repograph"":172,""rank_runtime"":93,""rank_strict_identifier"":253,""traceback"":0}"
pypa/twine,R9B,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.6410256410256411,1,1.0,lightgbm_lambdamart,b24ad0de9bcde85d551e900e488a721fe285451fff9cbd616835663f966609b4,"{""best_rank_signal"":258,""callee"":2,""caller"":0,""channel_consensus"":118,""dynamic"":13,""executed"":23,""failing_test_frequency"":26,""frequency"":44,""last_touch"":152,""rank_bm25"":240,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":130,""rank_repograph"":231,""rank_runtime"":128,""rank_strict_identifier"":181,""traceback"":0}"
