pipeline,batch_size,cache,serialization,repetition,model_ms,explainer_ms,fuzzyxai_ms,serialization_ms,total_ms,peak_ram_mb,peak_vram_mb,throughput_objects_per_second,overhead_ratio
tabular_shap,1,warm,True,14,0.043342,0.125007,0.027302,0.004769,0.20042,840.36328125,0.0,4989.522003792037,0.19050306209125092
tabular_shap,1,warm,True,15,0.04236,0.125158,0.027331,0.004799,0.199648,840.36328125,0.0,5008.81551530694,0.1918002841485691
tabular_shap,1,warm,True,16,0.042641,0.132952,0.029315,0.004869,0.209777,840.36328125,0.0,4766.9668266778535,0.19467746436361358
tabular_shap,1,warm,True,17,0.044605,0.125959,0.027742,0.004779,0.203085,840.36328125,0.0,4924.046581480661,0.1906674327525152
tabular_shap,1,warm,True,18,0.041318,0.125368,0.027702,0.004819,0.199207,840.36328125,0.0,5019.903919038989,0.19510336800931094
tabular_shap,1,warm,True,19,0.04239,0.133493,0.027642,0.004739,0.208264,840.36328125,0.0,4801.597971805017,0.18410534275626408
tabular_shap,1,warm,True,20,0.043403,0.129215,0.028193,0.004859,0.20567,840.36328125,0.0,4862.15782564302,0.19147481722647697
tabular_shap,1,warm,True,21,0.056968,0.132491,0.028624,0.005,0.223083,840.36328125,0.0,4482.636507488244,0.17747375421595174
tabular_shap,1,warm,True,22,0.044023,0.128143,0.027903,0.004849,0.204918,840.36328125,0.0,4880.0007808001255,0.19023500575026428
tabular_shap,1,warm,True,23,0.042951,0.125989,0.027212,0.004789,0.200941,840.36328125,0.0,4976.585166790252,0.18942228009944362
tabular_shap,1,warm,True,24,0.040777,0.125308,0.027382,0.004839,0.198306,840.36328125,0.0,5042.711768680726,0.19400307071680162
tabular_shap,1,warm,True,25,0.043172,0.127622,0.033664,0.004939,0.209397,840.36328125,0.0,4775.617606746992,0.22602082040352706
tabular_shap,1,warm,True,26,0.044234,0.127923,0.027802,0.00505,0.205009,840.36328125,0.0,4877.8346316503175,0.19082581597030618
tabular_shap,1,warm,True,27,0.0426,0.125669,0.027251,0.004769,0.200289,840.36328125,0.0,4992.785425060787,0.1902905466841783
tabular_shap,1,warm,True,28,0.044204,0.125989,0.027261,0.00486,0.202314,840.36328125,0.0,4942.811668989789,0.18873279159542403
tabular_shap,1,warm,True,29,0.042611,0.123323,0.027152,0.004779,0.197865,840.36328125,0.0,5053.950926136507,0.1924319307676546
tabular_shap,1,cold,False,0,6.5385729999999995,0.200641,0.056707,0.000221,6.796142,840.61328125,0.0,147.14230514900956,0.008447275898940143
tabular_shap,1,cold,False,1,5.551082,0.195901,0.05824,0.000311,5.805534,840.73828125,0.0,172.24944337592376,0.010188128275305495
tabular_shap,1,cold,False,2,4.907301,0.194568,0.053622,0.000221,5.155712,840.73828125,0.0,193.95963156980062,0.010553583402474661
tabular_shap,1,cold,False,3,4.8030040000000005,0.22701,0.063941,0.000331,5.094286,840.73828125,0.0,196.29836251831955,0.012777698034240061
tabular_shap,1,cold,False,4,4.657839,0.218845,0.067928,0.000321,4.944933000000001,840.73828125,0.0,202.22720914519974,0.013994960510051504
tabular_shap,1,cold,False,5,5.26,0.204428,0.060424,0.00021,5.525062,840.73828125,0.0,180.99344405546944,0.011096129366147747
tabular_shap,1,cold,False,6,4.933372,0.203375,0.056998,0.000201,5.193946,840.73828125,0.0,192.531843804306,0.01113525739149699
tabular_shap,1,cold,False,7,4.842799,0.212553,0.055175,0.00023,5.110757,840.73828125,0.0,195.66573014526026,0.01095967204657559
tabular_shap,1,cold,False,8,4.7859110000000005,0.188848,0.048853,0.00021,5.023822,840.73828125,0.0,199.0516383741303,0.009862387303585962
tabular_shap,1,cold,False,9,4.710649,0.190451,0.051027,0.00028,4.952407,840.73828125,0.0,201.92201489094091,0.010468466262675726
tabular_shap,1,cold,False,10,4.857496,0.242931,0.054603,0.000191,5.155221,840.86328125,0.0,193.97810491538579,0.01074302210383562
tabular_shap,1,cold,False,11,4.788457,0.242851,0.06871,0.000341,5.100359,840.86328125,0.0,196.0646299603616,0.013724264147613302
tabular_shap,1,cold,False,12,4.738632,0.191753,0.051799,0.00012,4.982304,840.86328125,0.0,200.71035408517827,0.010530414967593807
tabular_shap,1,cold,False,13,4.917029,0.192405,0.051407,0.00016,5.161001,840.86328125,0.0,193.76086150729287,0.010092507310985913
tabular_shap,1,cold,False,14,4.63192,0.183929,0.048141,0.00022,4.86421,840.86328125,0.0,205.58322934248315,0.010042050737055917
tabular_shap,1,cold,False,15,4.653821,0.188678,0.048492,0.0002,4.891191,840.86328125,0.0,204.44918221349357,0.010055138885934721
tabular_shap,1,cold,False,16,4.664973,0.195741,0.050215,0.00023,4.911159,840.86328125,0.0,203.61792399716646,0.010378104945075971
tabular_shap,1,cold,False,17,4.517984,0.1904,0.058421,0.000211,4.767016,840.86328125,0.0,209.7748360819431,0.01245268015522948
tabular_shap,1,cold,False,18,4.566134999999999,0.187355,0.050566,0.000221,4.804277,840.86328125,0.0,208.14786491286827,0.010684149961396786
tabular_shap,1,cold,False,19,4.919865,0.186434,0.054583,0.000241,5.161123,840.86328125,0.0,193.75628133644557,0.010736543238067336
tabular_shap,1,cold,False,20,4.538473000000001,0.179199,0.044825,0.00013,4.762627,840.86328125,0.0,209.96815413006308,0.00952906433512122
tabular_shap,1,cold,False,21,4.536629,0.18464,0.048833,0.00014,4.770242,840.86328125,0.0,209.63297040275944,0.01037284679182652
tabular_shap,1,cold,False,22,4.540748000000001,0.19006,0.049544,0.00023,4.780582,840.86328125,0.0,209.17955177842362,0.010521247110430183
tabular_shap,1,cold,False,23,4.524054,0.185612,0.048843,0.00021,4.758718999999999,840.86328125,0.0,210.14058615354264,0.010415388267448266
tabular_shap,1,cold,False,24,4.506934,0.180782,0.054343,0.000141,4.7421999999999995,840.86328125,0.0,210.87259078065037,0.011622717758499023
tabular_shap,1,cold,False,25,4.599037,0.181785,0.046528,0.000121,4.827471,840.86328125,0.0,207.1478005771552,0.009757527052879193
tabular_shap,1,cold,False,26,4.569972,0.187094,0.049734,0.000251,4.807051,840.86328125,0.0,208.02774923752628,0.010507527118606301
tabular_shap,1,cold,False,27,4.546898,0.188728,0.049463,0.000251,4.78534,840.86328125,0.0,208.97156732854927,0.01049787293168844
tabular_shap,1,cold,False,28,4.527762,0.196032,0.049954,0.000271,4.774019,840.86328125,0.0,209.4671177471225,0.010632343408709185
tabular_shap,1,cold,False,29,4.592015,0.18973,0.048321,0.000231,4.830297000000001,840.86328125,0.0,207.02660726659246,0.010153615468829895
tabular_shap,1,cold,True,0,4.570783,0.184339,0.053812,0.006553,4.815487,840.86328125,0.0,207.66331629594265,0.012694732122540707
tabular_shap,1,cold,True,1,4.530829000000001,0.186273,0.04766,0.006442,4.771204,840.86328125,0.0,209.59070289176483,0.011469330109885262
tabular_shap,1,cold,True,2,4.549664,0.187255,0.049404,0.006482,4.792805,840.86328125,0.0,208.6460851213433,0.011797964035272716
tabular_shap,1,cold,True,3,4.534053999999999,0.189249,0.048552,0.006262,4.778117,840.86328125,0.0,209.28746617129718,0.01160501454173065
tabular_shap,1,cold,True,4,4.5956209999999995,0.182586,0.046308,0.006422,4.830937,840.98828125,0.0,206.99918049024447,0.011035520227566535
tabular_shap,1,cold,True,5,4.6387529999999995,0.187225,0.049353,0.006683,4.882014,840.98828125,0.0,204.83349699529745,0.011611325207035757
tabular_shap,1,cold,True,6,4.558039,0.195841,0.052209,0.006452,4.812541,840.98828125,0.0,207.79043752562316,0.012339604701843547
tabular_shap,1,cold,True,7,4.686063,0.205249,0.054693,0.006483,4.952488,840.98828125,0.0,201.91871237244797,0.012507073766711263
tabular_shap,1,cold,True,8,4.642289,0.192354,0.058491,0.006443,4.899577,840.98828125,0.0,204.09925183337256,0.013430981356844757
tabular_shap,1,cold,True,9,4.99097,0.187135,0.050776,0.006433,5.235314,840.98828125,0.0,191.01051054435322,0.011048250276887009
tabular_shap,1,cold,True,10,4.532902,0.189709,0.045817,0.006532,4.774959999999999,840.98828125,0.0,209.4258381222042,0.0110847579866307
tabular_shap,1,cold,True,11,4.491784,0.187986,0.049103,0.006562,4.735435,840.98828125,0.0,211.17384147390896,0.011894815343489105
tabular_shap,1,cold,True,12,4.514476999999999,0.193407,0.049994,0.006633,4.764511,840.98828125,0.0,209.8851277707198,0.012028121338588634
tabular_shap,1,cold,True,13,4.541579,0.214086,0.061056,0.006773,4.823493999999999,840.98828125,0.0,207.31859519261351,0.014262779232767659
tabular_shap,1,cold,True,14,5.345211,0.234875,0.060706,0.006822,5.647614,840.98828125,0.0,177.06592553952873,0.0121016056024943
tabular_shap,1,cold,True,15,5.020746,0.186584,0.048792,0.006332,5.262454,840.98828125,0.0,190.02541399886823,0.010585847257615707
tabular_shap,1,cold,True,16,4.60568,0.182075,0.04724,0.006212,4.841207000000001,840.98828125,0.0,206.5600582664612,0.0111643139634338
tabular_shap,1,cold,True,17,4.576936,0.192896,0.050535,0.006533,4.8269,841.11328125,0.0,207.17230520624003,0.011964362686149112
tabular_shap,1,cold,True,18,4.788246,0.215568,0.060715,0.006723,5.071251999999999,841.11328125,0.0,197.18996413508935,0.013477319500684877
tabular_shap,1,cold,True,19,4.991561,0.204608,0.056907,0.006332,5.259408,841.11328125,0.0,190.13546771803976,0.012170312397460513
tabular_shap,1,cold,True,20,4.797014,0.197043,0.053221,0.006222,5.0535,841.11328125,0.0,197.88265558523796,0.01190274760580426
tabular_shap,1,cold,True,21,4.81165,0.204107,0.057569,0.006743,5.080069,841.11328125,0.0,196.84771998175617,0.01282199277197839
tabular_shap,1,cold,True,22,5.057226,0.208856,0.057629,0.006763,5.330474,841.11328125,0.0,187.60057735953689,0.012227686541911045
tabular_shap,1,cold,True,23,5.1104270000000005,0.203115,0.060154,0.006472,5.380168,841.11328125,0.0,185.8678018976359,0.012538905310243147
tabular_shap,1,cold,True,24,5.098804,0.209257,0.065584,0.006693,5.380338,841.11328125,0.0,185.86192912043816,0.013616459946485167
tabular_shap,1,cold,True,25,4.995128,0.198627,0.055445,0.006372,5.255572,841.11328125,0.0,190.27424607635476,0.011902178674196223
tabular_shap,1,cold,True,26,4.770543,0.196723,0.053822,0.006653,5.027741,841.11328125,0.0,198.89648253559602,0.012174705361057771
tabular_shap,1,cold,True,27,4.6641319999999995,0.194168,0.051858,0.006412,4.91657,841.11328125,0.0,203.39382943800248,0.011993907333841057
tabular_shap,1,cold,True,28,4.60554,0.188517,0.050716,0.006362,4.851135,841.11328125,0.0,206.13732662562472,0.011905991105237169
tabular_shap,1,cold,True,29,4.620367,0.192615,0.046719,0.006352,4.866053,841.11328125,0.0,205.5053654368335,0.011026635877715726
tabular_shap,8,warm,False,0,0.044926,0.247909,0.057389,0.0001,0.350324,841.11328125,0.0,22836.00324271246,0.19631874605153074
tabular_shap,8,warm,False,1,0.045727,0.248581,0.058852,0.00011,0.35327,841.11328125,0.0,22645.56854530529,0.20034113921470023
tabular_shap,8,warm,False,2,0.046598,0.241408,0.056717,0.00011,0.344833,841.11328125,0.0,23199.635765718478,0.19731186155843974
tabular_shap,8,warm,False,3,0.044163,0.241248,0.056467,0.00013,0.342008,841.11328125,0.0,23391.265701387103,0.19829999544516508
tabular_shap,8,warm,False,4,0.049144,0.252468,0.058661,0.000101,0.360374,841.11328125,0.0,22199.159761803017,0.19482646579048574
tabular_shap,8,warm,False,5,0.048662,0.251717,0.059413,0.0001,0.359892,841.11328125,0.0,22228.89088948907,0.1981263670229943
tabular_shap,8,warm,False,6,0.048993,0.252328,0.059723,0.00011,0.361154,841.11328125,0.0,22151.215271047808,0.19856896797767165
tabular_shap,8,warm,False,7,0.048211,0.243892,0.056788,0.00011,0.349001,841.11328125,0.0,22922.57042243432,0.19478745511001255
tabular_shap,8,warm,False,8,0.044405,0.241728,0.056477,0.0001,0.34271,841.11328125,0.0,23343.351521694723,0.19772972708495704
tabular_shap,8,warm,False,9,0.043733,0.257518,0.057519,0.00013,0.3589,841.11328125,0.0,22290.331568682086,0.1913653398660917
tabular_shap,8,warm,False,10,0.046809,0.240245,0.05778,9e-05,0.344924,841.11328125,0.0,23193.515093179944,0.20159969901133584
tabular_shap,8,warm,False,11,0.045125,0.236769,0.054884,0.00012,0.336898,841.11328125,0.0,23746.059638228784,0.1951229894925043
tabular_shap,8,warm,False,12,0.044294,0.245836,0.057139,0.0001,0.347369,841.11328125,0.0,23030.26464652862,0.1972874228793989
tabular_shap,8,warm,False,13,0.044665,0.239434,0.056216,0.00011,0.340425,841.11328125,0.0,23500.036718807372,0.19826187350184268
tabular_shap,8,warm,False,14,0.044384,0.239043,0.055185,0.00012,0.338732,841.11328125,0.0,23617.49111391897,0.19512961009360436
tabular_shap,8,warm,False,15,0.053422,0.248911,0.059503,9e-05,0.361926,841.11328125,0.0,22103.966004100283,0.1971104709045986
tabular_shap,8,warm,False,16,0.04763,0.240977,0.057669,9e-05,0.346366,841.11328125,0.0,23096.955243874974,0.20013028097031602
tabular_shap,8,warm,False,17,0.044184,0.24293,0.057409,0.00011,0.344633,841.11328125,0.0,23213.09915185139,0.20033505854817252
tabular_shap,8,warm,False,18,0.045727,0.23742,0.057028,0.0001,0.340275,841.11328125,0.0,23510.39600323268,0.2017609227715639
tabular_shap,8,warm,False,19,0.044374,0.243401,0.056928,0.000101,0.344804,841.23828125,0.0,23201.586988550018,0.19817218312918078
tabular_shap,8,warm,False,20,0.045286,0.247348,0.05769,0.00011,0.350434,841.23828125,0.0,22828.835101616853,0.19751635148342297
tabular_shap,8,warm,False,21,0.045676,0.240366,0.056978,0.00012,0.34314,841.23828125,0.0,23314.0992014921,0.1996140426930311
tabular_shap,8,warm,False,22,0.044314,0.240035,0.057559,0.0001,0.342008,841.23828125,0.0,23391.265701387103,0.20277546254778459
tabular_shap,8,warm,False,23,0.044104,0.24812,0.057589,8e-05,0.349893,841.23828125,0.0,22864.13274915474,0.19734518725361366
tabular_shap,8,warm,False,24,0.044845,0.238853,0.056708,9e-05,0.340496,841.23828125,0.0,23495.136506743103,0.2002058527025217
tabular_shap,8,warm,False,25,0.043533,0.245395,0.056867,0.000101,0.345896,841.23828125,0.0,23128.339153965353,0.19717022926126923
tabular_shap,8,warm,False,26,0.044585,0.257729,0.05835,0.00011,0.360774,841.23828125,0.0,22174.546946287704,0.19337510006152545
tabular_shap,8,warm,False,27,0.046188,0.238402,0.056557,0.0001,0.341247,841.23828125,0.0,23443.429539307304,0.19908289117678066
tabular_shap,8,warm,False,28,0.044104,0.23769,0.054624,0.0001,0.336518,841.23828125,0.0,23772.87396216547,0.19419859897655736
tabular_shap,8,warm,False,29,0.046298,0.239143,0.057109,0.00011,0.34266,841.23828125,0.0,23346.75771902177,0.20045823830493867
tabular_shap,8,warm,True,0,0.044444,0.237751,0.057609,0.006132,0.345936,841.23828125,0.0,23125.664862864804,0.225875724233243
tabular_shap,8,warm,True,1,0.044134,0.246567,0.058411,0.00518,0.354292,841.23828125,0.0,22580.244544048415,0.21875053749385107
tabular_shap,8,warm,True,2,0.046758,0.249102,0.05783,0.00507,0.35876,841.23828125,0.0,22299.029992195337,0.21260055431623062
tabular_shap,8,warm,True,3,0.044825,0.239203,0.056507,0.00493,0.345465,841.23828125,0.0,23157.193927025888,0.21630613883138283
tabular_shap,8,warm,True,4,0.044494,0.24797,0.057189,0.004829,0.354482,841.23828125,0.0,22568.14168279348,0.21205344931341977
tabular_shap,8,warm,True,5,0.045496,0.243181,0.057349,0.004909,0.350935,841.23828125,0.0,22796.24431874849,0.21566664472749816
tabular_shap,8,warm,True,6,0.045556,0.239644,0.056538,0.004739,0.346477,841.23828125,0.0,23089.55572808585,0.2148562412342216
tabular_shap,8,warm,True,7,0.044855,0.247509,0.057318,0.00484,0.354522,841.23828125,0.0,22565.59536502671,0.21260483506861308
tabular_shap,8,warm,True,8,0.04756,0.240336,0.056857,0.004819,0.349572,841.23828125,0.0,22885.128099504538,0.2142301386611832
tabular_shap,8,warm,True,9,0.044043,0.23711,0.057158,0.00495,0.343261,841.23828125,0.0,23305.88094773365,0.2209046319975245
tabular_shap,8,warm,True,10,0.052469,0.242019,0.056727,0.004689,0.355904,841.23828125,0.0,22477.971587843913,0.20855179158403736
tabular_shap,8,warm,True,11,0.045436,0.23743,0.055886,0.004909,0.343661,841.23828125,0.0,23278.754353854525,0.21492508820430875
tabular_shap,8,warm,True,12,0.043603,0.242951,0.060564,0.004709,0.351827,841.23828125,0.0,22738.448157759354,0.2277860368377339
tabular_shap,8,warm,True,13,0.046678,0.238352,0.055615,0.004769,0.345414,841.23828125,0.0,23160.613061427735,0.21185138406483528
tabular_shap,8,warm,True,14,0.044455,0.236869,0.055304,0.00489,0.341518,841.23828125,0.0,23424.82680268683,0.21396681406492157
tabular_shap,8,warm,True,15,0.044003,0.251276,0.05786,0.004889,0.358028,841.23828125,0.0,22344.621091087847,0.2125074929134818
tabular_shap,8,warm,True,16,0.04764,0.247319,0.056828,0.004939,0.356726,841.23828125,0.0,22426.175832431614,0.20940876528602276
tabular_shap,8,warm,True,17,0.044133,0.23731,0.055165,0.004829,0.341437,841.23828125,0.0,23430.383936128776,0.21316572094527134
tabular_shap,8,warm,True,18,0.043723,0.248992,0.056527,0.004759,0.354001,841.23828125,0.0,22598.80621806153,0.20937088977332902
tabular_shap,8,warm,True,19,0.045797,0.238031,0.056327,0.004829,0.344984,841.23828125,0.0,23189.48125130441,0.21546852319010107
tabular_shap,8,warm,True,20,0.045096,0.239033,0.055425,0.004779,0.344333,841.23828125,0.0,23233.323555976338,0.2118896698330688
tabular_shap,8,warm,True,21,0.044895,0.245776,0.057108,0.004829,0.352608,841.23828125,0.0,22688.08421816862,0.21308283248070842
tabular_shap,8,warm,True,22,0.045456,0.235667,0.054433,0.004799,0.340355,841.23828125,0.0,23504.869915235562,0.21069780843260777
tabular_shap,8,warm,True,23,0.044444,0.236738,0.062349,0.004959,0.34849,841.23828125,0.0,22956.182386869063,0.23937520893940584
tabular_shap,8,warm,True,24,0.046148,0.244273,0.056317,0.004949,0.351687,841.23828125,0.0,22747.499907588277,0.21095581931058707
tabular_shap,8,warm,True,25,0.046168,0.241618,0.056527,0.004909,0.349222,841.23828125,0.0,22908.064211303983,0.21347807051072676
tabular_shap,8,warm,True,26,0.045156,0.245756,0.057339,0.005009,0.35326,841.23828125,0.0,22646.209590669758,0.2143191068089319
tabular_shap,8,warm,True,27,0.045938,0.238562,0.055816,0.004879,0.345195,841.23828125,0.0,23175.30671069975,0.21333919156414763
tabular_shap,8,warm,True,28,0.044164,0.237971,0.055415,0.00505,0.3426,841.23828125,0.0,23350.84646818447,0.21431229730448192
tabular_shap,8,warm,True,29,0.043392,0.248811,0.057399,0.00505,0.354652,841.23828125,0.0,22557.323799104473,0.21371786052846822
tabular_shap,8,cold,False,0,5.5596179999999995,0.316419,0.079721,0.000231,5.955989,841.23828125,0.0,1343.1858252256677,0.01360644938076462
tabular_shap,8,cold,False,1,4.711892,0.31656,0.080452,0.000241,5.109145,841.23828125,0.0,1565.8197213036624,0.016047284532098548
tabular_shap,8,cold,False,2,4.618404,0.31651,0.080733,0.00024,5.015887,841.23828125,0.0,1594.9322622299903,0.01640818867360201
tabular_shap,8,cold,False,3,4.5666459999999995,0.310799,0.077186,0.000201,4.954832,841.23828125,0.0,1614.5855197512249,0.0158662988511403
tabular_shap,8,cold,False,4,4.482307,0.305519,0.074191,0.00014,4.862157,841.23828125,0.0,1645.360279398629,0.015525000281965132
tabular_shap,8,cold,False,5,4.523696,0.309446,0.07896,0.00015,4.912252,841.23828125,0.0,1628.5809441372307,0.016368234163200667
tabular_shap,8,cold,False,6,4.592485,0.313114,0.079801,0.00012,4.98552,841.23828125,0.0,1604.6470578796193,0.01629179229692439
tabular_shap,8,cold,False,7,4.514708000000001,0.314375,0.07899,0.000291,4.908364000000001,841.23828125,0.0,1629.8709712645596,0.016417402641453874
tabular_shap,8,cold,False,8,4.463781,0.307072,0.08433,0.00015,4.855333,841.23828125,0.0,1647.6727754821347,0.01770752525806182
tabular_shap,8,cold,False,9,4.536258,0.304908,0.078038,0.000151,4.9193549999999995,841.23828125,0.0,1626.229454877723,0.01615086117683219
tabular_shap,8,cold,False,10,4.836117,0.313965,0.080503,0.00024,5.230824999999999,841.23828125,0.0,1529.39545865136,0.015678002796848674
tabular_shap,8,cold,False,11,4.913083,0.306631,0.080513,0.00012,5.300347,841.23828125,0.0,1509.335143529282,0.015447781238588932
tabular_shap,8,cold,False,12,4.754041,0.31612,0.083498,0.000351,5.1540099999999995,841.23828125,0.0,1552.1894602455177,0.016537739136883427
tabular_shap,8,cold,False,13,4.794719,0.314275,0.080022,0.000231,5.189247,841.23828125,0.0,1541.6494917277978,0.01570818051459837
tabular_shap,8,cold,False,14,4.603165,0.311,0.086624,0.000231,5.00102,841.23828125,0.0,1599.6736665720196,0.017674416711689577
tabular_shap,8,cold,False,15,4.657528,0.313585,0.080052,0.0002,5.051365,841.23828125,0.0,1583.7303382353089,0.01614366842998741
tabular_shap,8,cold,False,16,4.557609,0.309657,0.077687,0.000211,4.945164,841.23828125,0.0,1617.7421011719732,0.016004467395042722
tabular_shap,8,cold,False,17,4.668639,0.315758,0.077748,0.00022,5.062365,841.23828125,0.0,1580.2890546217034,0.01564241371624291
tabular_shap,8,cold,False,18,4.617222,0.319095,0.080362,0.00027,5.016949,841.23828125,0.0,1594.594643078891,0.01633444529595648
tabular_shap,8,cold,False,19,4.618392999999999,0.35309,0.094158,0.000301,5.065942,841.23828125,0.0,1579.1732317503834,0.01900016554416459
tabular_shap,8,cold,False,20,4.713054,0.348731,0.102164,0.00029,5.164238999999999,841.23828125,0.0,1549.1149809294266,0.020240685845013175
