pipeline,batch_size,cache,serialization,mean_total_ms,median_total_ms,p90_total_ms,p95_total_ms,std_total_ms,median_overhead_ratio,p95_overhead_ratio,median_throughput_objects_per_second,peak_ram_mb,peak_vram_mb
text_token_masking,1,cold,True,4.805589033333333,4.6819345000000006,5.324393,5.465389999999999,0.33091557181172593,0.00991554068484623,0.011922117373585285,213.58706555300654,863.98046875,0.0
text_token_masking,1,warm,False,0.5610006999999999,0.494657,0.737628,0.880489,0.12667009563541903,0.0551316017431608,0.07685265979874233,2021.6101795014083,863.98046875,0.0
text_token_masking,1,warm,True,0.5054726333333334,0.466109,0.656965,0.758428,0.09296183596749329,0.06254577420763605,0.07643571959970241,2145.4678088335286,863.98046875,0.0
text_token_masking,8,cold,False,7.707716966666666,7.390998499999999,9.478586,9.838657999999999,1.04297929742483,0.009032083196707416,0.013216373512953277,1082.428310009474,863.98046875,0.0
text_token_masking,8,cold,True,9.370845966666668,8.398718500000001,13.209327,14.833686,2.5619399256244177,0.010050083169393442,0.013866796627679139,953.4393756920874,863.98046875,0.0
text_token_masking,8,warm,False,2.3799734333333333,2.31088,2.693646,2.748279,0.1707289836268407,0.020160556341845146,0.026326726786550902,3461.884650586908,863.98046875,0.0
text_token_masking,8,warm,True,2.3599533666666668,2.326435,2.536327,2.543161,0.11818316062133019,0.022981536988669754,0.027689254423970962,3438.7564414424282,863.98046875,0.0
text_token_masking,32,cold,False,14.9312346,14.4668955,17.094471,17.276094999999998,1.1015589667028052,0.008735374115750323,0.01075452202961651,2211.9471382070574,863.98046875,0.0
text_token_masking,32,cold,True,14.502293333333334,14.091956,15.986721,16.560180000000003,1.0126494860674369,0.009152605590437624,0.011777893106345475,2270.820674936072,863.98046875,0.0
text_token_masking,32,warm,False,8.976790833333332,8.737170500000001,10.090907,10.381928,0.5599433773663366,0.01337324956853237,0.015207153785534729,3662.569369356066,863.98046875,0.0
text_token_masking,32,warm,True,8.6950106,8.690782500000001,8.860234,8.861867,0.1012767275778051,0.014389616935562935,0.01586510870109478,3682.0655866112447,863.98046875,0.0
