policy,review_budget,cost_profile,automatic_coverage,accepted_error_rate,wrong_automatic_actions,selective_risk,manual_review_load,review_rate,false_blocks,true_structural_blocks,total_cost,risk_auroc,risk_auprc,expected_calibration_error,brier_score,action_sha256
predictive_entropy,0.1,review_expensive,0.9,0.02236842105263158,153,0.02236842105263158,760,0.1,0,0,4570.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,1096e82d2150f026e23d72c20bac21acd3185696000464f828df21842b0c5f12
predictive_entropy,0.2,balanced,0.8,0.01200657894736842,73,0.01200657894736842,1520,0.2,0,0,2250.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,e8a9aba5cd229bb3526ac34575f4b1f830b708faf4e12ee7230e12a55589b093
predictive_entropy,0.2,unsafe_accept_sensitive,0.8,0.01200657894736842,73,0.01200657894736842,1520,0.2,0,0,3345.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,e8a9aba5cd229bb3526ac34575f4b1f830b708faf4e12ee7230e12a55589b093
predictive_entropy,0.2,review_expensive,0.8,0.01200657894736842,73,0.01200657894736842,1520,0.2,0,0,6810.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,e8a9aba5cd229bb3526ac34575f4b1f830b708faf4e12ee7230e12a55589b093
predictive_entropy,0.3,balanced,0.7,0.007142857142857143,38,0.007142857142857143,2280,0.3,0,0,2660.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,bd858c6e85f54ed17a50cbd9ff2295cd484e3b165f78359ed75f1a10086b1c83
predictive_entropy,0.3,unsafe_accept_sensitive,0.7,0.007142857142857143,38,0.007142857142857143,2280,0.3,0,0,3230.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,bd858c6e85f54ed17a50cbd9ff2295cd484e3b165f78359ed75f1a10086b1c83
predictive_entropy,0.3,review_expensive,0.7,0.007142857142857143,38,0.007142857142857143,2280,0.3,0,0,9500.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,bd858c6e85f54ed17a50cbd9ff2295cd484e3b165f78359ed75f1a10086b1c83
predictive_entropy,0.4,balanced,0.6,0.005263157894736842,24,0.005263157894736842,3040,0.4,0,0,3280.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,d5fff8f19e58cf0a14f093807aa1d9d91f55c9b13af8f657c4c3347c54cc832b
predictive_entropy,0.4,unsafe_accept_sensitive,0.6,0.005263157894736842,24,0.005263157894736842,3040,0.4,0,0,3640.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,d5fff8f19e58cf0a14f093807aa1d9d91f55c9b13af8f657c4c3347c54cc832b
predictive_entropy,0.4,review_expensive,0.6,0.005263157894736842,24,0.005263157894736842,3040,0.4,0,0,12400.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,d5fff8f19e58cf0a14f093807aa1d9d91f55c9b13af8f657c4c3347c54cc832b
