pipeline,batch_size,mode,model_ms,explainer_ms,base_ms,fuzzyxai_ms,fuzzyxai_ms_per_object,relative_overhead,root_digest,normalize_ms,prediction_digest_ms,explanation_digest_ms,contract_check_ms,route_build_ms,cut_search_ms,proof_trace_ms,serialization_ms,repetition
tabular_shap,1,online,0.041719,0.121841,0.16356,0.056206,0.056206,0.3436414771337735,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000371,0.010389,0.005942,0.000441,0.025097,7e-05,0.004108,0.00011,29
tabular_shap,1,full,0.042571,0.127611,0.170182,0.061457,0.061457,0.36112514837056797,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000351,0.011081,0.006202,0.000501,0.026039,7e-05,0.004088,0.002745,0
tabular_shap,1,full,0.046088,0.150414,0.19650199999999998,0.064112,0.064112,0.32626639932417995,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000391,0.012253,0.006132,0.000551,0.026711,7e-05,0.004418,0.002775,1
tabular_shap,1,full,0.051487,0.135537,0.187024,0.062639,0.062639,0.334924929420823,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000381,0.011722,0.006041,0.000491,0.02637,9e-05,0.004108,0.002425,2
tabular_shap,1,full,0.04762,0.136528,0.184148,0.064132,0.064132,0.3482633533896648,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000351,0.013535,0.005951,0.000632,0.02654,8e-05,0.004058,0.002645,3
tabular_shap,1,full,0.048542,0.127391,0.175933,0.060695,0.060695,0.34498928569398574,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000391,0.011171,0.006232,0.000471,0.025709,7e-05,0.004077,0.002415,4
tabular_shap,1,full,0.044164,0.136047,0.180211,0.060324,0.060324,0.3347409425617748,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.00038,0.010821,0.005971,0.000461,0.025799,8e-05,0.004008,0.002424,5
tabular_shap,1,full,0.046378,0.124165,0.170543,0.059302,0.059302,0.34772462077012833,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000371,0.0107,0.006262,0.000551,0.025057,7e-05,0.004168,0.002585,6
tabular_shap,1,full,0.042982,0.126279,0.169261,0.057459,0.057459,0.33946981289251515,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000341,0.010369,0.005881,0.000471,0.024517,7e-05,0.003957,0.002385,7
tabular_shap,1,full,0.043142,0.124054,0.167196,0.05815,0.05815,0.34779540180387086,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.00035,0.01015,0.006101,0.000491,0.025007,7.1e-05,0.004007,0.002345,8
tabular_shap,1,full,0.042781,0.137139,0.17992000000000002,0.060284,0.060284,0.33506002667852375,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000401,0.011442,0.006081,0.000491,0.025298,6e-05,0.004058,0.002435,9
tabular_shap,1,full,0.046518,0.12685,0.173368,0.059863,0.059863,0.34529440265793,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000361,0.011211,0.005941,0.000501,0.024867,6e-05,0.004138,0.002645,10
tabular_shap,1,full,0.043302,0.130577,0.173879,0.060494,0.060494,0.3479086031090586,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000331,0.011191,0.006021,0.000541,0.025248,7e-05,0.004128,0.002805,11
tabular_shap,1,full,0.044545,0.139223,0.18376800000000001,0.061266,0.061266,0.3333877497714509,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000361,0.011652,0.006112,0.000461,0.026009,7e-05,0.004128,0.002374,12
tabular_shap,1,full,0.046398,0.139524,0.185922,0.06341,0.06341,0.3410570023988554,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000431,0.012203,0.006122,0.000601,0.02641,9e-05,0.004198,0.002585,13
tabular_shap,1,full,0.047971,0.129806,0.17777700000000002,0.059232,0.059232,0.33318145766887725,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000411,0.010901,0.005931,0.000491,0.025198,8e-05,0.004047,0.002445,14
tabular_shap,1,full,0.044073,0.127582,0.171655,0.059112,0.059112,0.3443651510296816,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000351,0.01075,0.006152,0.000511,0.025188,7e-05,0.004047,0.002345,15
tabular_shap,1,full,0.043612,0.126219,0.169831,0.058932,0.058932,0.34700378611678667,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.00036,0.011352,0.005921,0.000501,0.024707,7e-05,0.003988,0.002284,16
tabular_shap,1,full,0.043663,0.125337,0.169,0.066095,0.066095,0.391094674556213,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000321,0.0106,0.012634,0.000441,0.025558,6e-05,0.004148,0.002475,17
tabular_shap,1,full,0.045336,0.133943,0.17927900000000002,0.060725,0.060725,0.3387178643343615,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000401,0.011401,0.005911,0.000521,0.025348,8.1e-05,0.004298,0.002585,18
tabular_shap,1,full,0.044985,0.127682,0.172667,0.05831,0.05831,0.3377020507682418,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000331,0.010429,0.005861,0.000471,0.024898,8e-05,0.004107,0.002455,19
tabular_shap,1,full,0.042962,0.124816,0.16777799999999998,0.05818,0.05818,0.34676775262549325,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000341,0.01051,0.005831,0.000511,0.024597,6e-05,0.004147,0.002405,20
tabular_shap,1,full,0.043452,0.129746,0.173198,0.059292,0.059292,0.3423365165879514,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000341,0.01056,0.006141,0.000501,0.025258,8e-05,0.004058,0.002415,21
tabular_shap,1,full,0.051718,0.130507,0.18222500000000003,0.061927,0.061927,0.339838112223899,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000481,0.012163,0.006042,0.000761,0.025619,7e-05,0.004087,0.002345,22
tabular_shap,1,full,0.045626,0.12667,0.172296,0.05845,0.05845,0.3392417699772485,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000341,0.01044,0.005921,0.000531,0.025017,7e-05,0.004098,0.002385,23
tabular_shap,1,full,0.044273,0.124135,0.168408,0.058882,0.058882,0.34963897202033156,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000381,0.01072,0.005861,0.000481,0.025248,7e-05,0.004077,0.002265,24
tabular_shap,1,full,0.04202,0.125657,0.167677,0.058872,0.058872,0.3511036099166851,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000381,0.01082,0.005951,0.000471,0.025028,7e-05,0.004158,0.002414,25
tabular_shap,1,full,0.042541,0.133592,0.17613299999999998,0.059192,0.059192,0.3360642241942169,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000431,0.01081,0.005912,0.000511,0.025197,6e-05,0.004038,0.002334,26
tabular_shap,1,full,0.043673,0.132671,0.176344,0.058661,0.058661,0.33265095495168534,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000371,0.01085,0.005831,0.000491,0.025198,7e-05,0.004038,0.002344,27
tabular_shap,1,full,0.043973,0.129606,0.17357899999999998,0.060244,0.060244,0.3470696339995046,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000391,0.01084,0.006112,0.000531,0.025418,7e-05,0.004108,0.002344,28
tabular_shap,1,full,0.043543,0.126258,0.169801,0.05793,0.05793,0.34116406852727604,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.00036,0.0104,0.005831,0.000481,0.025017,7e-05,0.004058,0.002325,29
tabular_shap,8,online,0.048401,0.244804,0.293205,0.190681,0.023835125,0.6503333844920789,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000521,0.046848,0.038804,0.000741,0.074752,7e-05,0.016882,0.00012,0
tabular_shap,8,online,0.048913,0.248721,0.297634,0.185991,0.023248875,0.624898365106137,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000411,0.047299,0.038814,0.000681,0.069241,0.000331,0.017002,0.00012,1
tabular_shap,8,online,0.04758,0.242619,0.290199,0.189028,0.0236285,0.6513737125214077,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000341,0.046598,0.038703,0.000541,0.074091,9e-05,0.016842,0.00016,2
tabular_shap,8,online,0.048803,0.243841,0.292644,0.183999,0.022999875,0.6287468733341534,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000421,0.04726,0.038633,0.000561,0.068229,9e-05,0.017092,0.000121,3
tabular_shap,8,online,0.04724,0.241086,0.28832599999999997,0.188547,0.023568375,0.6539368631340913,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000361,0.046498,0.038673,0.000551,0.068229,7e-05,0.022302,0.00012,4
tabular_shap,8,online,0.048592,0.245504,0.294096,0.185902,0.02323775,0.6321133235406126,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.00039,0.046999,0.038433,0.000551,0.069752,7e-05,0.017303,0.00013,5
tabular_shap,8,online,0.046428,0.242799,0.289227,0.184419,0.023052375,0.6376271924820297,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.00034,0.046909,0.039074,0.000521,0.068449,7.1e-05,0.017112,0.00013,6
tabular_shap,8,online,0.053181,0.250684,0.303865,0.185522,0.02319025,0.6105408651868428,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000471,0.04765,0.038412,0.000592,0.06896,7e-05,0.016902,0.00013,7
tabular_shap,8,online,0.048041,0.243381,0.29142199999999996,0.183858,0.02298225,0.6308995202833005,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000481,0.046708,0.038493,0.000561,0.06866,6e-05,0.017012,0.00015,8
tabular_shap,8,online,0.052039,0.245575,0.297614,0.183778,0.02297225,0.6175045528772168,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000371,0.047049,0.038593,0.000551,0.068399,7e-05,0.016962,0.000131,9
